% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 67.01    0.075063          21      3522           ptrace
 31.45    0.035228          20      1765         1 wait4
  0.56    0.000626         313         2           clone
  0.22    0.000244          15        16           mprotect
  0.10    0.000114           5        22           mmap
  0.09    0.000099          11         9           openat
  0.09    0.000097           6        15           close
  0.06    0.000071          10         7           read
  0.06    0.000068          10         7         5 stat
  0.05    0.000051          51         1           munmap
  0.04    0.000043          14         3           pipe
  0.04    0.000042          42         1           uname
  0.03    0.000038           4        10           rt_sigaction
  0.03    0.000037          19         2           kill
  0.03    0.000033           4         9           fstat
  0.03    0.000032           4         8           fcntl
  0.03    0.000031          31         1           write
  0.02    0.000025           3         9         9 access
  0.01    0.000016           5         3           getuid
  0.01    0.000014           5         3           brk
  0.01    0.000007           4         2           rt_sigprocmask
  0.01    0.000007           7         1           sysinfo
  0.01    0.000007           4         2           geteuid
  0.00    0.000005           5         1           getpid
  0.00    0.000004           4         1           getitimer
  0.00    0.000004           4         1           setitimer
  0.00    0.000004           4         1           arch_prctl
  0.00    0.000004           4         1           prlimit64
  0.00    0.000003           3         1           set_tid_address
  0.00    0.000003           3         1           set_robust_list
  0.00    0.000002           2         1           getgid
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ----------------
100.00    0.112022                  5429        15 total
